year,malt,rice,hop,hopextract,hoprate,hopacreage,aromahop,hopvariety,hopincrease,noS,noM,noL,noXL
2007,4487919198,868992414,53684221,6165599,0.93,30911,21.8,85,,1511,88,3,17
2008,4497887231,815885939,54921450,6019292,0.95,40898,19.8,90,5.882352941,1585,83,9,11
2009,4345699093,723813489,61625695,4117287,1.12,39726,20.9,88,-2.222222222,1671,85,4,18
2010,4129259818,712042188,90572849,4275858,1.185,31289,26,92,4.545454545,1735,62,5,17
2011,4021632730,748353836,107566361,3831826,1.28,29787,31.9,97,5.434782609,1995,77,5,16
2012,4106758575,716807617,119240171,4219099,1.296,29683,41.6,105,8.24742268,2339,71,3,17
2013,3955223955,724365175,81827074,3887149,1.362,35288,62.7,114,8.571428571,2752,73,4,17
2014,3915991903,724368200,82241820,3902444,1.43,38011,69.9,132,15.78947368,3277,75,6,15
2015,3669211565,603794296,310558359,3611505,1.46,43633,74.2,148,12.12121212,4399,84,6,15
2016,141013476,7490145,328483859,57905,1.5,50857,77.3,162,9.459459459,4982,93,7,14
2017,112898190,1853842,334483939,29141,1.55,53282,78.2,176,8.641975309,5533,95,5,15
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
